	Z1	Z2	Z3	n1	n2	n3	Eneg1	Eneg2	Eneg3	Sp_gr	Formulae	Volume
0	89	20	49	1.0	1.0	2.0	1.1	1.0	1.78	225	Ca1 Ac1 In2	129.0851588
1	89	80	81	1.0	2.0	1.0	1.1	2.0	1.62	225	Ac1 Tl1 Hg2	117.265654822
2	28	32	89	1.0	1.0	2.0	1.91	2.01	1.1	225	Ac2 Ni1 Ge1	110.427684705
3	82	89	79	1.0	1.0	2.0	2.33	1.1	2.54	225	Ac1 Pb1 Au2	106.644653458
4	38	89	30	1.0	1.0	2.0	0.95	1.1	1.65	225	Sr1 Ac1 Zn2	120.065068884
5	89	70	48	1.0	1.0	2.0	1.1	0.0	1.69	225	Yb1 Ac1 Cd2	124.767693557
6	89	8	35	2.0	2.0	2.0	1.1	3.44	2.96	129	Ac2 Br2 O2	143.023434319
7	89	8	17	2.0	2.0	2.0	1.1	3.44	3.16	129	Ac2 Cl2 O2	131.046117797
8	11	89	50	1.0	2.0	1.0	0.93	1.1	1.96	225	Na1 Ac2 Sn1	139.922105074
9	89	70	12	1.0	1.0	2.0	1.1	0.0	1.31	225	Yb1 Ac1 Mg2	132.610727669
10	82	11	89	1.0	1.0	2.0	2.33	0.93	1.1	225	Na1 Ac2 Pb1	144.78183143
11	89	14	80	2.0	1.0	1.0	1.1	1.9	2.0	225	Ac2 Si1 Hg1	123.549644411
12	89	70	31	1.0	1.0	2.0	1.1	0.0	1.81	225	Yb1 Ac1 Ga2	110.566857885
13	89	79	14	2.0	1.0	1.0	1.1	2.54	1.9	225	Ac2 Si1 Au1	118.317307108
14	89	70	45	1.0	1.0	2.0	1.1	0.0	2.28	225	Yb1 Ac1 Rh2	89.3053020692
15	55	89	52	1.0	1.0	2.0	0.79	1.1	2.1	225	Cs1 Ac1 Te2	151.017465755
16	44	89	3	1.0	2.0	1.0	2.2	1.1	0.98	225	Li1 Ac2 Ru1	108.875224696
17	89	79	49	1.0	2.0	1.0	1.1	2.54	1.78	225	Ac1 In1 Au2	103.537517221
18	89	80	49	1.0	2.0	1.0	1.1	2.0	1.78	225	Ac1 In1 Hg2	114.158958952
19	89	14	46	2.0	1.0	1.0	1.1	1.9	2.2	225	Ac2 Si1 Pd1	113.84194896
20	89	8	9	1.0	1.0	1.0	1.1	3.44	3.98	216	Ac1 O1 F1	53.3503105923
21	89	8	37	1.0	3.0	1.0	1.1	3.44	0.82	221	Rb1 Ac1 O3	99.6494192357
22	38	89	81	1.0	1.0	2.0	0.95	1.1	1.62	225	Sr1 Ac1 Tl2	140.892837103
23	89	77	79	2.0	1.0	1.0	1.1	2.2	2.54	225	Ac2 Ir1 Au1	110.447889478
24	89	80	47	1.0	2.0	1.0	1.1	2.0	1.93	225	Ac1 Ag1 Hg2	107.770445275
25	28	89	77	1.0	2.0	1.0	1.91	1.1	2.2	225	Ac2 Ni1 Ir1	100.970458771
26	89	70	30	1.0	1.0	2.0	1.1	0.0	1.65	225	Yb1 Ac1 Zn2	108.782143864
27	89	80	48	1.0	2.0	1.0	1.1	2.0	1.69	225	Ac1 Cd1 Hg2	111.745924751
28	12	89	80	1.0	1.0	2.0	1.31	1.1	2.0	225	Ac1 Mg1 Hg2	111.82400046
29	89	14	3	2.0	1.0	1.0	1.1	1.9	0.98	225	Li1 Ac2 Si1	117.654630702
30	89	12	48	1.0	1.0	2.0	1.1	1.31	1.69	225	Ac1 Mg1 Cd2	112.904773036
31	89	70	80	1.0	1.0	2.0	1.1	0.0	2.0	225	Yb1 Ac1 Hg2	121.320733639
32	89	50	3	1.0	1.0	2.0	1.1	1.96	0.98	225	Li2 Ac1 Sn1	94.7897037903
33	89	79	50	1.0	2.0	1.0	1.1	2.54	1.96	225	Ac1 Sn1 Au2	103.025576427
34	89	79	81	1.0	2.0	1.0	1.1	2.54	1.62	225	Ac1 Tl1 Au2	105.997384771
35	89	30	32	2.0	1.0	1.0	1.1	1.65	2.01	225	Ac2 Zn1 Ge1	118.737758435
36	89	79	83	1.0	2.0	1.0	1.1	2.54	2.02	225	Ac1 Bi1 Au2	107.22393555
37	89	79	30	1.0	2.0	1.0	1.1	2.54	1.65	225	Ac1 Zn1 Au2	97.9996134583
38	89	12	81	1.0	1.0	2.0	1.1	1.31	1.62	225	Ac1 Mg1 Tl2	121.397296671
39	89	77	3	2.0	1.0	1.0	1.1	2.2	0.98	225	Li1 Ac2 Ir1	109.488227022
40	89	81	3	1.0	2.0	1.0	1.1	1.62	0.98	225	Li1 Ac1 Tl2	119.599640947
41	12	89	50	1.0	2.0	1.0	1.31	1.1	1.96	225	Ac2 Mg1 Sn1	137.165418483
42	89	8	29	1.0	3.0	1.0	1.1	3.44	1.9	221	Ac1 Cu1 O3	61.3654635443
43	89	77	46	2.0	1.0	1.0	1.1	2.2	2.2	225	Ac2 Ir1 Pd1	106.095723631
44	89	77	29	2.0	1.0	1.0	1.1	2.2	1.9	225	Ac2 Cu1 Ir1	104.943957137
45	89	45	48	1.0	2.0	1.0	1.1	2.28	1.69	225	Ac1 Cd1 Rh2	84.2480248655
46	32	89	29	1.0	2.0	1.0	2.01	1.1	1.9	225	Ac2 Cu1 Ge1	114.239311109
47	11	89	79	1.0	1.0	2.0	0.93	1.1	2.54	225	Na1 Ac1 Au2	106.179556069
48	11	89	80	1.0	1.0	2.0	0.93	1.1	2.0	225	Na1 Ac1 Hg2	118.729876949
49	32	89	3	1.0	2.0	1.0	2.01	1.1	0.98	225	Li1 Ac2 Ge1	119.615442227
50	30	20	89	2.0	1.0	1.0	1.65	1.0	1.1	225	Ca1 Ac1 Zn2	111.581091967
51	89	81	47	1.0	1.0	2.0	1.1	1.62	1.93	225	Ac1 Tl1 Ag2	105.860497181
52	89	79	80	1.0	2.0	1.0	1.1	2.54	2.0	225	Ac1 Hg1 Au2	102.983959117
53	89	77	30	2.0	1.0	1.0	1.1	2.2	1.65	225	Ac2 Zn1 Ir1	109.291802242
54	32	89	46	1.0	2.0	1.0	2.01	1.1	2.2	225	Ac2 Ge1 Pd1	115.36618627
55	89	50	29	2.0	1.0	1.0	1.1	1.96	1.9	225	Ac2 Cu1 Sn1	125.533788407
56	89	3	49	1.0	2.0	1.0	1.1	0.98	1.78	166	Li2 Ac1 In1	99.1559385924
57	82	89	3	1.0	1.0	2.0	2.33	1.1	0.98	225	Li2 Ac1 Pb1	99.2989277197
58	89	32	80	2.0	1.0	1.0	1.1	2.01	2.0	225	Ac2 Hg1 Ge1	125.722331233
59	89	29	31	2.0	1.0	1.0	1.1	1.9	1.81	225	Ac2 Ga1 Cu1	112.489272262
60	89	52	81	1.0	2.0	1.0	1.1	2.1	1.62	225	Ac1 Tl1 Te2	135.090362001
61	89	30	31	2.0	1.0	1.0	1.1	1.65	1.81	225	Ac2 Zn1 Ga1	120.819838007
62	89	52	49	1.0	2.0	1.0	1.1	2.1	1.78	225	Ac1 In1 Te2	132.656745901
63	89	20	80	1.0	1.0	2.0	1.1	1.0	2.0	225	Ca1 Ac1 Hg2	122.873995851
64	89	52	31	1.0	2.0	1.0	1.1	2.1	1.81	225	Ac1 Ga1 Te2	127.304173069
65	89	31	3	2.0	1.0	1.0	1.1	1.81	0.98	225	Li1 Ac2 Ga1	123.363170042
66	51	89	79	1.0	1.0	2.0	2.05	1.1	2.54	225	Ac1 Sb1 Au2	103.370268558
67	89	50	47	1.0	1.0	2.0	1.1	1.96	1.93	225	Ac1 Ag2 Sn1	103.206763335
68	89	52	37	1.0	2.0	1.0	1.1	2.1	0.82	225	Rb1 Ac1 Te2	144.386970943
69	89	80	50	2.0	1.0	1.0	1.1	2.0	1.96	225	Ac2 Sn1 Hg1	135.875756831
70	89	8	22	1.0	3.0	1.0	1.1	3.44	1.54	221	Ac1 Ti1 O3	64.7137319171
71	89	79	47	1.0	2.0	1.0	1.1	2.54	1.93	225	Ac1 Ag1 Au2	99.4427890655
72	89	50	48	2.0	1.0	1.0	1.1	1.96	1.69	225	Ac2 Cd1 Sn1	136.66374598
73	89	52	19	1.0	2.0	1.0	1.1	2.1	0.82	225	K1 Ac1 Te2	138.785253962
74	30	14	89	1.0	1.0	2.0	1.65	1.9	1.1	225	Ac2 Zn1 Si1	115.973180862
75	89	77	47	2.0	1.0	1.0	1.1	2.2	1.93	225	Ac2 Ag1 Ir1	111.61631739
76	89	52	47	1.0	2.0	1.0	1.1	2.1	1.93	225	Ac1 Ag1 Te2	122.149989664
77	89	26	8	1.0	1.0	3.0	1.1	1.83	3.44	221	Ac1 Fe1 O3	64.6914209938
78	89	52	3	1.0	2.0	1.0	1.1	2.1	0.98	225	Li1 Ac1 Te2	124.297642037
79	24	89	8	1.0	1.0	3.0	1.66	1.1	3.44	221	Ac1 Cr1 O3	63.4883895035
80	11	89	52	1.0	1.0	2.0	0.93	1.1	2.1	225	Na1 Ac1 Te2	129.758534421
81	89	47	48	1.0	2.0	1.0	1.1	1.93	1.69	225	Ac1 Cd1 Ag2	103.84452287
82	89	14	29	2.0	1.0	1.0	1.1	1.9	1.9	225	Ac2 Si1 Cu1	111.646152479
83	38	89	80	1.0	1.0	2.0	0.95	1.1	2.0	225	Sr1 Ac1 Hg2	131.235309445
84	11	89	81	1.0	1.0	2.0	0.93	1.1	1.62	225	Na1 Ac1 Tl2	128.528212708
85	89	81	3	1.0	1.0	2.0	1.1	1.62	0.98	225	Li2 Ac1 Tl1	99.6906129739
86	59	26	47	12.0	26.0	2.0	1.13	1.83	1.93	140	Pr12 Fe26 Ag2	765.05659193
87	50	47	3	1.0	2.0	1.0	1.96	1.93	0.98	225	Li1 Ag2 Sn1	74.9927990185
88	41	8	47	1.0	3.0	1.0	1.6	3.44	1.93	221	Nb1 Ag1 O3	65.1582695411
89	8	47	3	4.0	6.0	2.0	3.44	1.93	0.98	72	Li2 Ag6 O4	176.526959193
90	55	47	17	2.0	2.0	4.0	0.79	1.93	3.16	129	Cs2 Ag2 Cl4	263.907946344
91	53	80	47	4.0	1.0	2.0	2.66	2.0	1.93	82	Ag2 Hg1 I4	281.162297953
92	6	8	47	2.0	6.0	2.0	2.55	3.44	1.93	167	Ag2 C2 O6	119.608741092
93	20	80	47	1.0	2.0	1.0	1.0	2.0	1.93	225	Ca1 Ag1 Hg2	94.3557891199
94	65	13	47	1.0	1.0	2.0	0.0	1.61	1.93	225	Tb1 Al1 Ag2	80.924988818
95	13	47	68	1.0	2.0	1.0	1.61	1.93	1.24	225	Er1 Al1 Ag2	78.8175144136
96	8	37	47	4.0	2.0	2.0	3.44	0.82	1.93	15	Rb2 Ag2 O4	186.586509222
97	8	47	9	4.0	2.0	2.0	3.44	1.93	3.98	12	Ag2 O4 F2	122.584892626
98	69	13	47	1.0	1.0	2.0	1.25	1.61	1.93	225	Tm1 Al1 Ag2	78.2518544918
99	15	8	47	2.0	8.0	6.0	2.19	3.44	1.93	218	Ag6 P2 O8	228.76191644
100	59	32	47	1.0	2.0	2.0	1.13	2.01	1.93	139	Pr1 Ag2 Ge2	104.989267184
101	32	58	47	2.0	2.0	2.0	2.01	1.12	1.93	186	Ce2 Ag2 Ge2	137.013863168
102	52	8	47	8.0	24.0	8.0	2.1	3.44	1.93	14	Ag8 Te8 O24	574.826138249
103	32	60	47	2.0	1.0	2.0	2.01	1.14	1.93	139	Nd1 Ag2 Ge2	104.069117804
104	52	47	68	4.0	2.0	2.0	2.1	1.93	1.24	113	Er2 Ag2 Te4	236.163257476
105	39	52	47	2.0	4.0	2.0	1.22	2.1	1.93	113	Y2 Ag2 Te4	241.036355497
106	52	65	47	4.0	2.0	2.0	2.1	0.0	1.93	113	Tb2 Ag2 Te4	242.042666481
107	52	47	66	4.0	2.0	2.0	2.1	1.93	1.22	113	Dy2 Ag2 Te4	239.858640063
108	21	34	47	1.0	2.0	1.0	1.36	2.55	1.93	164	Sc1 Ag1 Se2	88.5995534494
109	65	50	47	2.0	2.0	2.0	0.0	1.96	1.93	186	Tb2 Ag2 Sn2	145.510289247
110	25	8	47	2.0	6.0	2.0	1.55	3.44	1.93	148	Mn2 Ag2 O6	117.63803341
111	16	26	47	4.0	2.0	2.0	2.58	1.83	1.93	122	Fe2 Ag2 S4	162.406041999
112	28	8	47	2.0	4.0	2.0	1.91	3.44	1.93	194	Ni2 Ag2 O4	95.9333641943
113	55	47	9	4.0	2.0	8.0	0.79	1.93	3.98	64	Cs4 Ag2 F8	314.0088424
114	52	47	31	4.0	2.0	2.0	2.1	1.93	1.81	122	Ga2 Ag2 Te4	253.899632002
115	24	52	47	4.0	8.0	2.0	1.66	2.1	1.93	227	Cr4 Ag2 Te8	382.204193154
116	52	69	47	2.0	1.0	1.0	2.1	1.25	1.93	164	Tm1 Ag1 Te2	114.259214783
117	16	13	47	4.0	2.0	2.0	2.58	1.61	1.93	122	Al2 Ag2 S4	173.815307705
118	34	67	47	8.0	4.0	4.0	2.55	1.23	1.93	19	Ho4 Ag4 Se8	401.098250555
119	34	13	47	4.0	2.0	2.0	2.55	1.61	1.93	122	Al2 Ag2 Se4	202.942162173
120	16	47	49	4.0	2.0	2.0	2.58	1.93	1.78	122	In2 Ag2 S4	202.532795852
121	20	83	47	2.0	2.0	2.0	1.0	2.02	1.93	186	Ca2 Ag2 Bi2	163.510353137
122	52	13	47	4.0	2.0	2.0	2.1	1.61	1.93	122	Al2 Ag2 Te4	252.1550673
123	16	47	31	4.0	2.0	2.0	2.58	1.93	1.81	122	Ga2 Ag2 S4	177.685379081
124	34	47	49	4.0	2.0	2.0	2.55	1.93	1.78	122	In2 Ag2 Se4	232.203676719
125	52	47	49	4.0	2.0	2.0	2.1	1.93	1.78	122	In2 Ag2 Te4	280.930049044
126	75	47	17	1.0	2.0	6.0	1.9	1.93	3.16	148	Re1 Ag2 Cl6	236.573232771
127	33	8	47	2.0	8.0	6.0	2.18	3.44	1.93	218	Ag6 As2 O8	243.775918864
128	34	47	31	4.0	2.0	2.0	2.55	1.93	1.81	122	Ga2 Ag2 Se4	206.937650892
129	50	47	66	4.0	4.0	3.0	1.96	1.93	1.22	71	Dy3 Ag4 Sn4	260.250239527
130	49	47	61	1.0	1.0	2.0	1.78	1.93	0.0	225	Pm2 In1 Ag1	111.006391749
131	5	8	47	1.0	3.0	1.0	2.04	3.44	1.93	221	Ag1 B1 O3	42.2637091076
132	30	47	9	1.0	1.0	3.0	1.65	1.93	3.98	221	Zn1 Ag1 F3	67.5722647826
133	12	13	47	32.0	36.0	13.0	1.31	1.61	1.93	204	Mg32 Al36 Ag13	1535.50303463
134	8	47	49	4.0	2.0	2.0	3.44	1.93	1.78	194	In2 Ag2 O4	123.814678405
135	53	19	47	12.0	8.0	4.0	2.66	0.82	1.93	62	K8 Ag4 I12	988.359338311
136	53	16	47	1.0	1.0	3.0	2.66	2.58	1.93	146	Ag3 S1 I1	121.855509994
137	8	13	47	8.0	4.0	4.0	3.44	1.61	1.93	33	Al4 Ag4 O8	211.297530778
138	15	56	47	2.0	2.0	2.0	2.19	0.89	1.93	194	Ba2 Ag2 P2	160.759506675
139	24	8	47	4.0	16.0	8.0	1.66	3.44	1.93	62	Cr4 Ag8 O16	410.093915
140	8	29	47	6.0	4.0	4.0	3.44	1.9	1.93	141	Cu4 Ag4 O6	193.016102521
141	32	47	66	3.0	3.0	3.0	2.01	1.93	1.22	189	Dy3 Ag3 Ge3	188.197154439
142	9	47	3	8.0	1.0	5.0	3.98	1.93	0.98	166	Li5 Ag1 F8	155.858603499
143	79	47	48	1.0	2.0	1.0	2.54	1.93	1.69	225	Cd1 Ag2 Au1	75.0689044157
144	44	8	47	2.0	8.0	2.0	2.2	3.44	1.93	88	Ag2 Ru2 O8	166.442722418
145	71	50	47	3.0	3.0	3.0	1.27	1.96	1.93	189	Lu3 Ag3 Sn3	207.310172188
146	69	50	47	3.0	3.0	3.0	1.25	1.96	1.93	189	Tm3 Ag3 Sn3	209.917828412
147	39	50	47	2.0	2.0	2.0	1.22	1.96	1.93	186	Y2 Ag2 Sn2	145.180897837
148	8	47	23	8.0	6.0	2.0	3.44	1.93	1.63	15	V2 Ag6 O8	247.414296766
149	69	50	47	2.0	2.0	2.0	1.25	1.96	1.93	186	Tm2 Ag2 Sn2	141.227655502
150	52	29	47	2.0	1.0	1.0	2.1	1.9	1.93	25	Cu1 Ag1 Te2	102.84847056
151	32	62	47	2.0	1.0	2.0	2.01	1.17	1.93	139	Sm1 Ag2 Ge2	102.583647851
152	8	47	23	4.0	3.0	1.0	3.44	1.93	1.63	121	V1 Ag3 O4	127.971321292
153	52	56	47	8.0	4.0	8.0	2.1	0.89	1.93	62	Ba4 Ag8 Te8	620.364151855
154	27	8	47	2.0	4.0	2.0	1.88	3.44	1.93	194	Co2 Ag2 O4	90.3432267195
155	82	62	47	2.0	2.0	2.0	2.33	1.17	1.93	186	Sm2 Ag2 Pb2	156.519123636
156	82	47	57	2.0	2.0	2.0	2.33	1.93	1.1	186	La2 Ag2 Pb2	168.4640323
157	82	58	47	2.0	2.0	2.0	2.33	1.12	1.93	186	Ce2 Ag2 Pb2	160.868693868
158	82	59	47	2.0	2.0	2.0	2.33	1.13	1.93	186	Pr2 Ag2 Pb2	163.352534361
159	82	71	47	3.0	3.0	3.0	2.33	1.27	1.93	189	Lu3 Ag3 Pb3	218.694950042
160	82	69	47	3.0	3.0	3.0	2.33	1.25	1.93	189	Tm3 Ag3 Pb3	220.986044785
161	82	47	68	3.0	3.0	3.0	2.33	1.93	1.24	189	Er3 Ag3 Pb3	222.525302951
162	51	16	47	2.0	8.0	10.0	2.05	2.58	1.93	36	Ag10 Sb2 S8	444.785217316
163	71	67	47	1.0	1.0	2.0	1.27	1.23	1.93	225	Ho1 Lu1 Ag2	92.0557198815
164	16	83	47	2.0	1.0	1.0	2.58	2.02	1.93	166	Ag1 Bi1 S2	90.4699349543
165	83	47	9	2.0	1.0	12.0	2.02	1.93	3.98	2	Ag1 Bi2 F12	251.073000625
166	16	33	47	6.0	2.0	6.0	2.58	2.18	1.93	161	Ag6 As2 S6	320.579893751
167	51	16	47	2.0	6.0	6.0	2.05	2.58	1.93	161	Ag6 Sb2 S6	333.654795952
168	34	83	47	6.0	3.0	3.0	2.55	2.02	1.93	164	Ag3 Bi3 Se6	303.944647963
169	8	47	7	6.0	2.0	2.0	3.44	1.93	3.04	161	Ag2 N2 O6	136.226899966
170	25	8	47	1.0	2.0	1.0	1.55	3.44	1.93	166	Mn1 Ag1 O2	52.7597971055
171	42	8	47	4.0	14.0	4.0	2.16	3.44	1.93	2	Ag4 Mo4 O14	316.179234066
172	8	26	47	2.0	1.0	1.0	3.44	1.83	1.93	166	Fe1 Ag1 O2	51.7750310062
173	16	47	49	2.0	1.0	1.0	2.58	1.93	1.78	166	In1 Ag1 S2	81.804569177
174	20	79	47	2.0	1.0	1.0	1.0	2.54	1.93	225	Ca2 Ag1 Au1	99.1838351667
175	8	47	17	4.0	1.0	1.0	3.44	1.93	3.16	216	Ag1 Cl1 O4	99.0178831306
176	5	8	47	4.0	12.0	12.0	2.04	3.44	1.93	167	Ag12 B4 O12	402.833352377
177	25	8	47	4.0	16.0	8.0	1.55	3.44	1.93	62	Mn4 Ag8 O16	385.666454908
178	8	47	7	3.0	1.0	1.0	3.44	1.93	3.04	160	Ag1 N1 O3	66.9430467785
179	34	47	49	8.0	1.0	5.0	2.55	1.93	1.78	111	In5 Ag1 Se8	419.485552877
180	33	56	47	2.0	2.0	2.0	2.18	0.89	1.93	194	Ba2 Ag2 As2	172.461232064
181	14	8	47	4.0	12.0	8.0	1.9	3.44	1.93	19	Si4 Ag8 O12	336.875742636
182	49	47	3	1.0	1.0	2.0	1.78	1.93	0.98	216	Li2 In1 Ag1	72.2132110527
183	16	33	47	12.0	4.0	12.0	2.58	2.18	1.93	15	Ag12 As4 S12	631.167376528
184	8	29	47	2.0	1.0	1.0	3.44	1.9	1.93	47	Cu1 Ag1 O2	53.5806984748
185	79	8	47	2.0	4.0	2.0	2.54	3.44	1.93	14	Ag2 Au2 O4	122.686623976
186	50	47	9	1.0	1.0	6.0	1.96	1.93	3.98	2	Ag1 Sn1 F6	128.051075807
187	33	47	9	4.0	4.0	28.0	2.18	1.93	3.98	62	Ag4 As4 F28	567.729163879
188	11	8	47	2.0	4.0	6.0	0.93	3.44	1.93	72	Na2 Ag6 O4	200.870730346
189	55	34	47	4.0	12.0	20.0	0.79	2.55	1.93	136	Cs4 Ag20 Se12	919.803274039
190	19	47	9	2.0	2.0	8.0	0.82	1.93	3.98	140	K2 Ag2 F8	215.384142416
191	11	47	9	2.0	2.0	8.0	0.93	1.93	3.98	140	Na2 Ag2 F8	172.029261656
192	53	16	47	1.0	1.0	4.0	2.66	2.58	1.93	12	Ag4 S1 I1	156.249516126
193	30	62	47	1.0	1.0	2.0	1.65	1.17	1.93	225	Sm1 Zn1 Ag2	84.3826318195
194	51	47	11	2.0	2.0	4.0	2.05	1.93	0.93	63	Na4 Ag2 Sb2	215.732402812
195	16	56	47	2.0	1.0	2.0	2.58	0.89	1.93	164	Ba1 Ag2 S2	123.472292162
196	15	34	47	4.0	24.0	28.0	2.19	2.55	1.93	198	Ag28 P4 Se24	1317.89635124
197	8	37	47	4.0	4.0	4.0	3.44	0.82	1.93	139	Rb4 Ag4 O4	309.561170268
198	19	8	47	4.0	4.0	4.0	0.82	3.44	1.93	139	K4 Ag4 O4	279.287663271
199	13	47	3	1.0	2.0	1.0	1.61	1.93	0.98	225	Li1 Al1 Ag2	64.1402005693
200	55	8	47	4.0	4.0	4.0	0.79	3.44	1.93	139	Cs4 Ag4 O4	344.385017691
201	11	8	47	4.0	4.0	4.0	0.93	3.44	1.93	139	Na4 Ag4 O4	216.027871113
202	46	47	17	2.0	4.0	8.0	2.2	1.93	3.16	64	Ag4 Pd2 Cl8	347.751608466
203	32	34	47	2.0	12.0	16.0	2.01	2.55	1.93	31	Ag16 Ge2 Se12	696.442589112
204	16	72	47	12.0	4.0	8.0	2.58	1.3	1.93	64	Hf4 Ag8 S12	495.889430801
205	70	50	47	3.0	3.0	3.0	0.0	1.96	1.93	187	Yb3 Ag3 Sn3	219.151847441
206	82	8	47	2.0	4.0	4.0	2.33	3.44	1.93	15	Ag4 Pb2 O4	186.178430497
207	41	8	47	6.0	16.0	2.0	1.6	3.44	1.93	72	Nb6 Ag2 O16	282.780728348
208	55	47	17	2.0	2.0	6.0	0.79	1.93	3.16	139	Cs2 Ag2 Cl6	301.804994184
209	6	47	7	8.0	4.0	12.0	2.55	1.93	3.04	62	Ag4 C8 N12	382.624706596
210	8	47	17	4.0	2.0	2.0	3.44	1.93	3.16	67	Ag2 Cl2 O4	164.673553373
211	16	8	47	2.0	8.0	4.0	2.58	3.44	1.93	70	Ag4 S2 O8	203.508383875
212	9	47	3	10.0	2.0	4.0	3.98	1.93	0.98	2	Li4 Ag2 F10	200.677021904
213	53	55	47	12.0	4.0	8.0	2.66	0.79	1.93	62	Cs4 Ag8 I12	1036.22758221
214	16	29	47	4.0	4.0	4.0	2.58	1.9	1.93	62	Cu4 Ag4 S4	220.607240572
215	8	83	47	18.0	3.0	25.0	3.44	2.02	1.93	147	Ag25 Bi3 O18	765.993327261
216	81	52	47	2.0	4.0	6.0	1.62	2.1	1.93	65	Tl2 Ag6 Te4	298.457731646
217	63	15	47	2.0	2.0	2.0	0.0	2.19	1.93	194	Eu2 Ag2 P2	135.061749266
218	32	8	47	4.0	16.0	20.0	2.01	3.44	1.93	14	Ag20 Ge4 O16	611.8975961
219	28	8	47	1.0	2.0	1.0	1.91	3.44	1.93	166	Ni1 Ag1 O2	47.8313702055
220	8	83	47	16.0	4.0	20.0	3.44	2.02	1.93	14	Ag20 Bi4 O16	693.880531156
221	82	47	61	1.0	2.0	1.0	2.33	1.93	0.0	225	Pm1 Ag2 Pb1	95.9332861486
222	6	47	7	6.0	3.0	9.0	2.55	1.93	3.04	152	Ag3 C6 N9	270.017858987
223	38	33	47	2.0	2.0	2.0	0.95	2.18	1.93	194	Sr2 Ag2 As2	153.706744483
224	34	47	68	8.0	4.0	4.0	2.55	1.93	1.24	19	Er4 Ag4 Se8	398.135148144
225	77	47	68	1.0	1.0	2.0	2.2	1.93	1.24	225	Er2 Ag1 Ir1	84.8005067737
226	16	81	47	8.0	4.0	12.0	2.58	1.62	1.93	60	Tl4 Ag12 S8	552.106014619
227	51	58	47	4.0	2.0	2.0	2.05	1.12	1.93	129	Ce2 Ag2 Sb4	204.157508139
228	55	47	9	2.0	1.0	4.0	0.79	1.93	3.98	139	Cs2 Ag1 F4	153.908150889
229	15	32	47	12.0	10.0	6.0	2.19	2.01	1.93	217	Ag6 Ge10 P12	569.501798738
230	16	47	73	6.0	2.0	2.0	2.58	1.93	1.5	36	Ta2 Ag2 S6	189.640210455
231	32	64	47	3.0	3.0	3.0	2.01	1.2	1.93	189	Gd3 Ag3 Ge3	193.988598501
232	63	51	47	2.0	2.0	2.0	0.0	2.05	1.93	194	Eu2 Ag2 Sb2	165.458664199
233	32	47	68	3.0	3.0	3.0	2.01	1.93	1.24	189	Er3 Ag3 Ge3	185.041779821
234	81	47	17	1.0	1.0	3.0	1.62	1.93	3.16	1	Tl1 Ag1 Cl3	135.167659791
235	81	35	47	2.0	6.0	2.0	1.62	2.96	1.93	161	Tl2 Ag2 Br6	316.115009953
236	8	47	23	12.0	4.0	4.0	3.44	1.93	1.63	8	V4 Ag4 O12	264.421203155
237	15	16	47	4.0	14.0	8.0	2.19	2.58	1.93	15	Ag8 P4 S14	578.893131025
238	39	47	49	1.0	2.0	1.0	1.22	1.93	1.78	225	Y1 In1 Ag2	86.5708432715
239	6	47	7	1.0	1.0	1.0	2.55	1.93	3.04	160	Ag1 C1 N1	71.7778628442
240	9	47	3	12.0	4.0	4.0	3.98	1.93	0.98	2	Li4 Ag4 F12	259.464803817
241	16	33	47	8.0	2.0	6.0	2.58	2.18	1.93	31	Ag6 As2 S8	374.216463819
242	81	34	47	4.0	4.0	4.0	1.62	2.55	1.93	62	Tl4 Ag4 Se4	306.220105743
243	69	47	49	1.0	2.0	1.0	1.25	1.93	1.78	225	Tm1 In1 Ag2	84.713414011
244	11	8	47	6.0	4.0	2.0	0.93	3.44	1.93	72	Na6 Ag2 O4	182.829237295
245	16	8	47	4.0	12.0	8.0	2.58	3.44	1.93	14	Ag8 S4 O12	373.289398057
246	8	13	47	4.0	2.0	2.0	3.44	1.61	1.93	194	Al2 Ag2 O4	91.4446865553
247	11	16	47	6.0	4.0	2.0	0.93	2.58	1.93	72	Na6 Ag2 S4	285.779936445
248	16	80	47	4.0	2.0	4.0	2.58	2.0	1.93	14	Ag4 Hg2 S4	214.469559427
249	44	8	47	4.0	12.0	4.0	2.2	3.44	1.93	227	Ag4 Ru4 O12	265.536818212
250	14	8	47	8.0	28.0	24.0	1.9	3.44	1.93	4	Si8 Ag24 O28	870.620072468
251	32	70	47	3.0	3.0	3.0	2.01	0.0	1.93	189	Yb3 Ag3 Ge3	191.926153014
252	19	34	47	2.0	4.0	6.0	0.82	2.55	1.93	12	K2 Ag6 Se4	300.758204832
253	32	16	47	4.0	24.0	32.0	2.01	2.58	1.93	33	Ag32 Ge4 S24	1254.59918129
254	15	19	47	2.0	4.0	2.0	2.19	0.82	1.93	63	K4 Ag2 P2	233.068549743
255	16	83	47	10.0	6.0	2.0	2.58	2.02	1.93	12	Ag2 Bi6 S10	460.915977333
256	16	14	47	24.0	4.0	32.0	2.58	1.9	1.93	33	Si4 Ag32 S24	1234.39016886
257	8	47	49	2.0	1.0	1.0	3.44	1.93	1.78	166	In1 Ag1 O2	61.5763104996
258	19	8	47	2.0	4.0	2.0	0.82	3.44	1.93	63	K2 Ag2 O4	161.291400551
259	82	8	47	2.0	4.0	2.0	2.33	3.44	1.93	12	Ag2 Pb2 O4	149.278609559
